Mg in NRCC SLRS-5 (),,,,,,,,,,,,,
less/more,Value,Unit,Origin,Uncertainty,Uncertainty Type,Method,Analyses-Comment,Institution,Comment,Last Name,First Name,Year,GeoReM-Id
,0.00249,µg/l,measured,0.00008,SD,ICPAES,,Technische Universität Braunschweig,,Baptista-Salazar,C.,2017,GeoReM 10311
,2.52,µg/g,measured,0.04,SD,ICPAES,,GeoForschungsZentrum Potsdam (GFZ),,Uhlig,D.,2017,GeoReM 10721
,2.58,µg/g,measured,0.03,SD,ICPMS,with FDC (%),Okayama University,,Hoang,Que D.,2019,GeoReM 11187
,2.73,µg/g,measured,0.07,SD,ICPMS,without FDC (%),Okayama University,,Hoang,Que D.,2019,GeoReM 11187
,2701,µg/l,compiled,312,UNCERT,ICPMS,compiled values interlaboratory,,,Yeghicheyan,D.,2019,GeoReM 11378
,2602,µg/l,measured,98,UNCERT,ICPMS,,Observatoire de Physique du Globe de Clermont-Ferrand,,Yeghicheyan,D.,2019,GeoReM 11378
,2676,µg/l,measured,250,UNCERT,ICPMS,,Université Paul Sabatier,,Yeghicheyan,D.,2019,GeoReM 11378
,2748,µg/l,measured,35,UNCERT,ICPMS,,Service d´Analyse des Roches et des Mineraux (SARM),,Yeghicheyan,D.,2019,GeoReM 11378
,2720,µg/l,measured,407,UNCERT,ICPMS,,Université de Toulouse,,Yeghicheyan,D.,2019,GeoReM 11378
,2.54,µg/g,compiled,0.16,95%CL,,,National Research Council of Canada (NRCC),,Mester,Z.,2009,GeoReM 5277
,2480,µg/l,measured,27,SD,ICPMS,,Université Bordeaux,,Yeghicheyan,D.,2013,GeoReM 7065
,2542,µg/l,measured,67,SD,ICPMS,,Université de Rennes,,Yeghicheyan,D.,2013,GeoReM 7065
,2528,µg/l,measured,76,SD,ICPMS,,Université de Montpellier I et II,,Yeghicheyan,D.,2013,GeoReM 7065
,2508,µg/l,measured,69,SD,ICPMS,,Université de Montpellier II & CNRS,,Yeghicheyan,D.,2013,GeoReM 7065
,2476,µg/l,measured,258,SD,ICPMS,,Université Paul Sabatier,,Yeghicheyan,D.,2013,GeoReM 7065
,2473,µg/l,measured,203,SD,ICPMS,,Université de Toulouse,,Yeghicheyan,D.,2013,GeoReM 7065
,2568,µg/l,measured,75,SD,ICPMS,,Centre de Recherches Petrographiques et Geochimiques (CRPG),,Yeghicheyan,D.,2013,GeoReM 7065
,2518,µg/l,compiled,297,95%CL,ICPMS,,,,Yeghicheyan,D.,2013,GeoReM 7065
,2550,µg/l,measured,7.4,RSD(%),ICPMS,,University of Maryland,,Liu,Xiao-Ming,2015,GeoReM 8581
,,,,,,,,,,,,,
Download from GeoReM - the Reference Material Database,,,,,,,,,,,,,
Date of Query: Oct 24. 2023,,,,,,,,,,,,,